City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,fairbanks,64.8378,-147.7164,33.76,77,40,5.75,US,1682949145
291,tonstad,58.6626,6.7169,45.19,93,97,7.45,NO,1682949261
292,sanchursk,56.9413,47.2499,71.76,63,100,7.87,RU,1682949261
293,maceio,-9.6658,-35.7353,85.44,70,75,6.91,BR,1682949261
294,cairns,-16.9167,145.7667,76.95,87,75,8.05,AU,1682949261
295,rusape,-18.5278,32.1284,69.51,51,64,7.7,ZW,1682949262
296,bubaque,11.2833,-15.8333,78.17,78,71,9.64,GW,1682949262
297,lata,40.1629,-8.3327,80.92,46,99,8.1,PT,1682949262
298,odessa,46.4775,30.7326,60.55,45,53,13.71,UA,1682949262
299,manzhouli,49.6,117.4333,69.85,13,100,20.11,CN,1682949262
300,hua hin,12.5707,99.9588,84.16,76,100,8.12,TH,1682949263
301,kaitangata,-46.2817,169.8464,49.96,97,100,5.1,NZ,1682949263
302,misasi,-3.0,33.0833,70.34,85,100,6.4,TZ,1682949263
303,ancud,-41.8697,-73.8203,46.49,89,100,7.63,CL,1682949263
304,bayan,46.0833,127.4,51.26,55,62,9.04,CN,1682949263
305,lensk,60.7253,114.9278,28.42,90,60,5.28,RU,1682949263
306,praia da vitoria,38.7333,-27.0667,66.45,68,40,19.1,PT,1682949264
307,fortuna,40.5982,-124.1573,49.93,90,100,4.0,US,1682949264
308,port alfred,-33.5906,26.891,73.18,68,22,5.99,ZA,1682949264
309,port lincoln,-34.7333,135.8667,60.46,83,13,11.72,AU,1682949264
310,itarema,-2.9248,-39.9167,83.61,73,100,8.97,BR,1682949264
311,college,64.8569,-147.8028,33.75,75,75,5.75,US,1682949264
312,les cayes,18.2,-73.75,84.25,64,57,7.47,HT,1682949020
313,pangody,65.85,74.4859,20.66,96,7,5.17,RU,1682949265
314,nemuro,43.3236,145.575,40.32,94,51,8.59,JP,1682949265
315,nanortalik,60.1432,-45.2371,34.99,58,32,3.33,GL,1682949265
316,seabra,-12.4186,-41.7703,70.9,80,100,1.59,BR,1682949265
317,tilichiki,60.4667,166.1,4.93,98,77,7.14,RU,1682949265
318,gizo,-8.103,156.8419,83.28,79,100,6.31,SB,1682949266
319,ust-maya,60.4167,134.5333,20.23,98,21,2.53,RU,1682949266
320,panguna,-6.3164,155.4848,69.21,94,100,1.92,PG,1682949266
321,nouadhibou,20.931,-17.0347,70.84,70,0,16.69,MR,1682949266
